Filename,Words,AWL,TTR,LDE,NTotal,VBTotal,ABLE,ACT,AMP,ASPECT,BEMA,CAUSE,CC,CD,COMM,CONC,COND,CONT,CUZ,DEMO,DMA,DOAUX,DT,ELAB,EMPH,EX,EXIST,FPP1P,FPP1S,FPPAll,FREQ,HDG,HGOT,IN,INother,JJAT,JJATDother,JJATother,JJDESCAll,JJEPSTother,JJEVAL,JJPR,JJPRother,JJREL,JJSIZE,JJTIME,MDCA,MDCO,MDMM,MDNE,MDPOSSCAll,MDPREDAll,MDWO,MDWS,MENTAL,NCOMP,NN,NNABSPROC,NNCOG,NNCONC,NNGRP,NNHUMAN,NNP,NNPLACE,NNQUANT,NNTECH,NNother,NOMZ,NSTNCother,OCCUR,PASS,PASSAll,PEAS,PGET,PIT,PLACE,POS,PROG,PrepNSTNC,QUAN,RB,RBother,RNONFACT,RP,RSTNCAll,SPLIT,SPP2,STPR,THATD,THRC,THRCother,THSC,THSCother,TIME,TPP3P,TPP3S,ThJFCT,ThJSTNCAll,ThSTNCAll,ThVATT,ThVCOMM,ThVFCT,ThVSTNCAll,ToJCRTN,ToJEVAL,ToJSTNCAll,ToNSTNC,ToSTNCAll,ToThNSTNCAll,ToVDSR,ToVPROB,ToVSTNCAll,URL,VBD,VBG,VBN,VIMP,VPRT,WHSC,WHSCother,WhVFCT,WhVLIK,WhVSTNCAll,XX0,DWNT,EMO,FPUH,GTO,JJCOLR,JJTOPIC,POLITE,QUPR,RFACT,ToJEASE,ToVEFRT,VFCTother,ThNFCT,ThNSTNCAll,ToJABL,WHQU,YNQU,HST,NNMention,ToJEFCT,ThVLIK,WhVCOM,QUTAG,VLIKother,ThNLIK,ToVMNTL,MDother,GW,VATTother,ThNATT,ToVSPCH,ThJEVL,WhVATT,RLIKELY,ThJATT,ThJLIK,ThNNFCT
USA-WBF184.txt,2331,4.7121,0.5275,0.5032,678,224,0.0089,0.3839,0.0051,0.0223,0.1964,0.0134,0.4598,0.0347,0.1205,0.0045,0.0268,0.1339,0.0223,0.0112,0.0017,0.0268,0.2478,0.0045,0.0034,0.0179,0.0312,0.1429,0.1652,0.308,0.0223,0.0021,0.0045,0.136,0.1308,0.1711,0.0015,0.1298,0.0088,0.0015,0.0074,0.2143,0.1741,0.0147,0.0088,0.0162,0.0179,0.0179,0.0089,0.058,0.0446,0.1027,0.0268,0.0759,0.1652,0.1121,0.2909,0.1003,0.0118,0.0324,0.0074,0.031,0.295,0.0295,0.0413,0.0029,0.0901,0.0147,0.0133,0.0446,0.0848,0.0938,0.0848,0.0089,0.1071,0.0446,0.028,0.067,0.0044,0.0442,0.0172,0.015,0.0004,0.0268,0.0004,0.0357,0.0223,0.0134,0.0179,0.0491,0.0491,0.0848,0.0357,0.0312,0.0446,0.0446,0.0045,0.0045,0.0047,0.0223,0.0134,0.0179,0.0446,0.0009,0.0004,0.0013,0.0015,0.003,0.0004,0.0089,0.0045,0.0134,0.0009,0.1696,0.1964,0.0938,0.0089,0.6161,0.125,0.1116,0.0089,0.0045,0.0134,0.0804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-WBS216.txt,2452,4.8475,0.4525,0.5371,852,186,0.0108,0.457,0.0012,0.0753,0.1882,0.0753,0.5484,0.0224,0.086,0.0,0.0323,0.0,0.0054,0.0118,0.0012,0.0054,0.1702,0.0108,0.0061,0.0054,0.0323,0.129,0.0215,0.1505,0.0376,0.0012,0.0054,0.144,0.1395,0.1221,0.0012,0.088,0.0094,0.0023,0.0035,0.1505,0.1129,0.0082,0.0082,0.0012,0.0269,0.0,0.0108,0.0108,0.0376,0.0753,0.0215,0.0484,0.1129,0.1326,0.3475,0.1373,0.0035,0.0153,0.02,0.054,0.3028,0.0153,0.0387,0.02,0.0742,0.0423,0.0059,0.043,0.1183,0.129,0.1075,0.0108,0.1452,0.0538,0.0106,0.1075,0.0023,0.0364,0.0159,0.0143,0.0,0.0591,0.0004,0.0699,0.3495,0.0,0.0215,0.0161,0.0161,0.0269,0.0161,0.0484,0.1075,0.1452,0.0,0.0,0.0008,0.0,0.0,0.0108,0.0108,0.0,0.0,0.0008,0.0,0.0024,0.0,0.0161,0.0,0.0215,0.0008,0.3226,0.2366,0.0591,0.0054,0.5538,0.1935,0.1935,0.0,0.0,0.0,0.043,0.0004,0.0033,0.0029,0.0054,0.0012,0.0082,0.0024,0.0215,0.0004,0.0008,0.0054,0.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS430.txt,3111,4.8903,0.51,0.5284,1017,257,0.0,0.2879,0.0019,0.0584,0.1479,0.0545,0.642,0.0225,0.1206,0.0156,0.0272,0.0039,0.0078,0.008,0.0013,0.0311,0.2006,0.0195,0.0026,0.0117,0.0545,0.2062,0.1206,0.3268,0.0233,0.0003,0.0,0.1456,0.1395,0.1485,0.0029,0.116,0.0029,0.002,0.002,0.144,0.1051,0.0118,0.0029,0.0157,0.07,0.0,0.0195,0.0272,0.0895,0.144,0.0156,0.1167,0.1012,0.0954,0.3269,0.1377,0.0039,0.0098,0.0167,0.0698,0.3215,0.0128,0.0147,0.0088,0.0794,0.0462,0.0197,0.0584,0.07,0.0817,0.0661,0.0117,0.1362,0.0195,0.0108,0.0311,0.0088,0.0442,0.0135,0.0132,0.0,0.0233,0.0,0.0428,0.1051,0.0,0.0039,0.0584,0.0545,0.0428,0.0156,0.0272,0.1401,0.07,0.0078,0.0078,0.0026,0.0039,0.0117,0.0078,0.0195,0.0,0.0003,0.001,0.002,0.0032,0.001,0.0156,0.0039,0.0195,0.0026,0.179,0.2023,0.0545,0.0,0.572,0.0895,0.0817,0.0078,0.0,0.0078,0.0934,0.0006,0.0013,0.0019,0.0117,0.0,0.002,0.001,0.0195,0.0,0.0003,0.0,0.0195,0.001,0.001,0.0003,0.0078,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-TWT133.txt,2349,5.7497,0.6725,0.6258,796,183,0.0,0.2951,0.0021,0.0383,0.1749,0.0383,0.3169,0.0217,0.1311,0.0,0.0109,0.0656,0.0273,0.0081,0.0021,0.0164,0.1595,0.0055,0.006,0.0164,0.0656,0.1038,0.0601,0.1639,0.0874,0.0,0.0055,0.103,0.0992,0.1457,0.0126,0.1068,0.0038,0.0013,0.0126,0.235,0.1803,0.0063,0.0038,0.0101,0.0546,0.0164,0.0437,0.0219,0.1148,0.0765,0.0109,0.0656,0.2077,0.1068,0.3389,0.0653,0.0088,0.0364,0.005,0.0565,0.3065,0.0101,0.0226,0.0138,0.0783,0.0188,0.0038,0.0492,0.0929,0.1038,0.0546,0.0109,0.0765,0.0273,0.0126,0.0273,0.0038,0.0302,0.0162,0.0132,0.0,0.0273,0.0009,0.0546,0.1858,0.0109,0.0219,0.0164,0.0164,0.0055,0.0,0.0929,0.0601,0.1311,0.0,0.0,0.0004,0.0,0.0055,0.0,0.0055,0.0,0.0,0.0009,0.0,0.0017,0.0,0.0055,0.0,0.0109,0.0315,0.224,0.1257,0.1202,0.0383,0.5246,0.1148,0.1093,0.0,0.0055,0.0055,0.1803,0.0009,0.0234,0.0064,0.0,0.0,0.0,0.006,0.0656,0.0009,0.0,0.0055,0.0055,0.0,0.0,0.0,0.0055,0.0004,0.0375,0.1269,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-TWT408.txt,2547,4.8484,0.625,0.5194,704,271,0.0,0.3542,0.002,0.0221,0.1882,0.0111,0.214,0.0094,0.0996,0.0111,0.059,0.0,0.0111,0.011,0.0043,0.0996,0.2614,0.0111,0.0079,0.0148,0.0185,0.0849,0.1033,0.1882,0.0258,0.0027,0.0,0.0938,0.0891,0.1051,0.0128,0.0582,0.0043,0.0014,0.0213,0.1513,0.0849,0.0185,0.0028,0.0057,0.0517,0.0295,0.0074,0.059,0.0886,0.1292,0.0332,0.0959,0.2251,0.0639,0.2764,0.0483,0.0028,0.0341,0.017,0.0611,0.0739,0.0284,0.0369,0.0085,0.075,0.017,0.0099,0.0554,0.0406,0.0406,0.0332,0.0,0.1255,0.0221,0.0142,0.0664,0.0014,0.054,0.0318,0.0291,0.0,0.0185,0.0016,0.0849,0.1587,0.0037,0.0517,0.0148,0.0148,0.0332,0.0185,0.0627,0.1144,0.0959,0.0,0.0,0.0016,0.0037,0.0074,0.0074,0.0148,0.0,0.0,0.0004,0.0,0.0035,0.0,0.0221,0.0,0.0295,0.0063,0.1439,0.107,0.0443,0.0148,0.5646,0.155,0.1439,0.0074,0.0037,0.0111,0.0627,0.0008,0.0424,0.0024,0.0,0.0014,0.0,0.0035,0.0295,0.0016,0.0004,0.0074,0.0,0.0,0.0,0.0,0.0332,0.0067,0.0181,0.3295,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBS056.txt,3058,5.0628,0.6,0.5647,1092,286,0.0,0.2343,0.0016,0.0175,0.1818,0.014,0.4441,0.034,0.1853,0.0035,0.0035,0.0105,0.0315,0.0128,0.0007,0.0035,0.2216,0.007,0.0023,0.0315,0.0524,0.0839,0.028,0.1119,0.0105,0.0003,0.0,0.1177,0.1131,0.1566,0.0009,0.1154,0.0073,0.0128,0.0009,0.1573,0.1154,0.0064,0.0055,0.0119,0.0315,0.0105,0.014,0.021,0.0559,0.1084,0.007,0.1014,0.1049,0.1099,0.3571,0.1108,0.0055,0.0229,0.0183,0.033,0.3498,0.0275,0.0366,0.0018,0.0811,0.0449,0.0147,0.042,0.1084,0.1084,0.0455,0.0,0.1224,0.0105,0.0147,0.028,0.0027,0.0293,0.0164,0.0144,0.0003,0.035,0.0007,0.0455,0.021,0.0,0.0105,0.007,0.007,0.028,0.0105,0.0804,0.0559,0.0385,0.0,0.0,0.0016,0.0035,0.0105,0.0,0.0175,0.0,0.0007,0.0007,0.0009,0.0033,0.0003,0.014,0.007,0.0245,0.0029,0.2832,0.1224,0.1189,0.014,0.5175,0.1119,0.1049,0.007,0.0,0.007,0.0524,0.0007,0.0029,0.0007,0.0,0.0018,0.0119,0.0003,0.014,0.0003,0.0,0.0035,0.0,0.0,0.0,0.0,0.007,0.0003,0.0,0.0009,0.0,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBF439.txt,2153,4.2457,0.585,0.4798,537,259,0.0039,0.2471,0.0009,0.0077,0.1892,0.0,0.2934,0.0237,0.139,0.0077,0.0618,0.0888,0.0077,0.0176,0.0098,0.0618,0.3035,0.0116,0.0051,0.0386,0.0502,0.0232,0.2201,0.2432,0.0463,0.0019,0.0,0.1013,0.0966,0.1415,0.0019,0.0801,0.0056,0.0112,0.041,0.1699,0.1081,0.0112,0.0037,0.013,0.0347,0.0154,0.027,0.0347,0.0772,0.0888,0.0463,0.0386,0.2046,0.1266,0.2494,0.067,0.0149,0.1155,0.0019,0.0615,0.1657,0.0205,0.041,0.0056,0.0831,0.0223,0.0149,0.0232,0.0541,0.0772,0.0347,0.0232,0.139,0.0425,0.0074,0.0232,0.0056,0.0521,0.026,0.0242,0.0,0.0425,0.0,0.0386,0.0927,0.0,0.0695,0.0077,0.0077,0.0232,0.0193,0.0502,0.0772,0.0541,0.0,0.0,0.0005,0.0,0.0039,0.0,0.0039,0.0005,0.0,0.0009,0.0037,0.0037,0.0009,0.0154,0.0,0.0154,0.0028,0.2008,0.1583,0.0811,0.0154,0.5869,0.1351,0.1274,0.0039,0.0,0.0077,0.1274,0.0005,0.0,0.007,0.0039,0.0019,0.0,0.0033,0.0347,0.0,0.0005,0.0,0.0386,0.0,0.0,0.0,0.0232,0.0023,0.0009,0.0,0.0,0.0,0.0039,0.0039,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS393.txt,3346,4.4555,0.5925,0.4976,912,300,0.0,0.48,0.003,0.0233,0.16,0.03,0.5833,0.009,0.0833,0.01,0.0267,0.0,0.0133,0.0093,0.0015,0.0267,0.2818,0.0033,0.0084,0.0267,0.0467,0.03,0.0267,0.0567,0.0267,0.0018,0.0,0.1106,0.1061,0.2138,0.0022,0.1568,0.0143,0.011,0.011,0.2433,0.1933,0.0164,0.0143,0.011,0.0833,0.0133,0.0133,0.0233,0.11,0.0867,0.01,0.0767,0.1667,0.1678,0.2726,0.0844,0.0121,0.0844,0.0121,0.0515,0.0855,0.0186,0.0417,0.0099,0.1133,0.0121,0.0044,0.0367,0.06,0.0733,0.0167,0.0133,0.11,0.1167,0.023,0.0167,0.0044,0.102,0.0263,0.0203,0.0009,0.0933,0.0015,0.0767,0.51,0.0,0.0167,0.0533,0.05,0.0567,0.0333,0.03,0.0967,0.02,0.0033,0.0033,0.0018,0.0,0.0133,0.0067,0.0133,0.0,0.0003,0.0006,0.0011,0.0033,0.0006,0.0167,0.0033,0.0267,0.0006,0.08,0.2,0.0867,0.07,0.63,0.0767,0.0767,0.0,0.0,0.0,0.0633,0.0,0.0,0.0003,0.0,0.0,0.0022,0.0,0.0867,0.0006,0.0,0.0033,0.01,0.0,0.0011,0.0003,0.0033,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0011,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-TWT333.txt,2651,6.0268,0.73,0.5851,861,199,0.0,0.3568,0.0034,0.0101,0.206,0.0151,0.3367,0.017,0.1256,0.005,0.0302,0.0101,0.0101,0.0113,0.0034,0.0553,0.1765,0.0151,0.0079,0.0201,0.0151,0.0804,0.2814,0.3618,0.0653,0.0008,0.0,0.0924,0.0875,0.101,0.0058,0.0697,0.0046,0.0046,0.0139,0.2915,0.2161,0.0058,0.0035,0.0046,0.0553,0.0151,0.0101,0.0201,0.0804,0.0402,0.0101,0.0302,0.1859,0.0883,0.3248,0.0557,0.007,0.0163,0.0035,0.0383,0.2067,0.0105,0.0244,0.0058,0.083,0.029,0.0046,0.0553,0.0503,0.0553,0.0503,0.005,0.1307,0.0653,0.0244,0.0653,0.0035,0.0197,0.0249,0.0192,0.0004,0.0804,0.0023,0.0653,0.201,0.0101,0.0101,0.0151,0.0151,0.0151,0.0101,0.0854,0.0603,0.0905,0.0,0.0,0.0004,0.0,0.0,0.005,0.005,0.0,0.0008,0.0019,0.0012,0.003,0.0004,0.0101,0.0,0.0101,0.0321,0.206,0.1859,0.1005,0.0452,0.608,0.1357,0.1307,0.005,0.0,0.005,0.1508,0.0,0.0313,0.0023,0.0,0.0012,0.0023,0.0026,0.0352,0.0019,0.0004,0.0,0.005,0.0,0.0,0.0004,0.0452,0.0041,0.0415,0.2648,0.0004,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-TWT261.txt,2564,4.6422,0.6325,0.592,707,259,0.0,0.3745,0.0016,0.0193,0.1429,0.0386,0.1815,0.0156,0.1158,0.0154,0.0463,0.0116,0.0,0.0125,0.0055,0.0425,0.1146,0.0,0.0176,0.0039,0.0309,0.027,0.4517,0.4788,0.0502,0.0,0.0039,0.071,0.0679,0.1372,0.0141,0.0792,0.0113,0.0099,0.024,0.2394,0.166,0.0085,0.0042,0.0113,0.0193,0.0039,0.0039,0.0347,0.027,0.0309,0.0039,0.0077,0.2201,0.1556,0.2757,0.0467,0.0014,0.0537,0.0042,0.0354,0.0566,0.0127,0.0495,0.0014,0.1088,0.0,0.0113,0.0077,0.0039,0.0154,0.0154,0.0116,0.0965,0.0347,0.0354,0.0386,0.0,0.058,0.0367,0.0285,0.0004,0.0811,0.0008,0.0541,0.2857,0.0,0.0309,0.0232,0.0232,0.0154,0.0116,0.0849,0.0309,0.0734,0.0,0.0,0.0004,0.0039,0.0,0.0,0.0039,0.0004,0.0,0.0004,0.0,0.0023,0.0,0.0116,0.0,0.0193,0.0296,0.2239,0.1931,0.0618,0.0193,0.6834,0.1081,0.0965,0.0077,0.0,0.0116,0.0734,0.0004,0.0655,0.0055,0.0193,0.0071,0.0014,0.0035,0.0618,0.0004,0.0,0.0039,0.0077,0.0,0.0,0.0,0.0039,0.0008,0.0,0.2008,0.0,0.0,0.0039,0.0,0.0,0.0,0.0039,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-WBF265.txt,2250,4.1813,0.615,0.5004,644,212,0.0047,0.2877,0.0049,0.0566,0.316,0.0,0.4009,0.0311,0.0472,0.0189,0.0519,0.2123,0.0142,0.012,0.0044,0.033,0.1848,0.0142,0.0138,0.0283,0.0142,0.066,0.2925,0.3585,0.0425,0.0022,0.0047,0.1027,0.0978,0.1801,0.0,0.132,0.0109,0.0031,0.0311,0.2406,0.1745,0.014,0.0109,0.0062,0.0094,0.0094,0.0236,0.0236,0.0425,0.0802,0.0142,0.066,0.2075,0.0854,0.2862,0.0357,0.0078,0.1087,0.014,0.0264,0.3214,0.0233,0.0342,0.0078,0.0929,0.0078,0.0,0.0142,0.0566,0.0566,0.0802,0.0,0.184,0.0519,0.0124,0.0519,0.0016,0.0621,0.0396,0.0311,0.0,0.066,0.0013,0.0566,0.1509,0.0,0.0236,0.0283,0.0283,0.0236,0.0236,0.1132,0.0377,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0013,0.0,0.0036,0.0,0.0236,0.0,0.0236,0.0,0.1934,0.1462,0.0708,0.0047,0.6557,0.0896,0.0755,0.0142,0.0,0.0142,0.1321,0.0018,0.0022,0.0089,0.0,0.0,0.0016,0.0013,0.0519,0.0013,0.0009,0.0,0.0142,0.0,0.0,0.0,0.0094,0.0009,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-WBS045.txt,2854,4.4552,0.535,0.4128,557,241,0.0083,0.2822,0.0049,0.0249,0.2531,0.0415,0.5519,0.0088,0.1037,0.0332,0.0249,0.0,0.0166,0.0109,0.0025,0.0373,0.3824,0.0166,0.0074,0.0124,0.0622,0.0456,0.7178,0.7635,0.0664,0.0018,0.0083,0.1437,0.1331,0.316,0.0108,0.2316,0.018,0.0162,0.0162,0.361,0.2988,0.0269,0.0162,0.0072,0.0373,0.029,0.0207,0.0124,0.0871,0.0664,0.0415,0.0207,0.2324,0.0575,0.1952,0.1544,0.0269,0.0413,0.0036,0.1311,0.0628,0.0072,0.061,0.0126,0.0687,0.0539,0.0287,0.0622,0.112,0.112,0.1743,0.0,0.1535,0.0166,0.0251,0.0498,0.0197,0.061,0.0385,0.0336,0.0,0.0581,0.0021,0.1535,0.029,0.0166,0.0207,0.0664,0.0622,0.1452,0.0871,0.083,0.1079,0.083,0.0,0.0,0.0053,0.0041,0.0332,0.029,0.0581,0.0004,0.0,0.0018,0.009,0.0067,0.0021,0.0124,0.0124,0.0373,0.0004,0.5062,0.2407,0.0581,0.0041,0.3278,0.1286,0.1245,0.0,0.0,0.0041,0.1743,0.0046,0.0,0.0004,0.0041,0.0018,0.0162,0.0004,0.0581,0.0021,0.0004,0.0124,0.0041,0.0,0.0018,0.0,0.0083,0.0,0.0,0.0,0.0011,0.0041,0.0041,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-WBF333.txt,2147,4.6539,0.5925,0.4779,563,218,0.0046,0.2156,0.007,0.055,0.2385,0.0229,0.3899,0.0093,0.0826,0.0,0.0321,0.1055,0.0092,0.0182,0.0037,0.0596,0.2558,0.0046,0.0107,0.0138,0.0183,0.0872,0.078,0.1651,0.0183,0.0009,0.0,0.1258,0.1206,0.1812,0.0036,0.1421,0.0107,0.0124,0.0089,0.2248,0.1651,0.0142,0.0089,0.0036,0.0505,0.0046,0.0046,0.0367,0.0596,0.0688,0.0183,0.0459,0.2385,0.1155,0.2622,0.1492,0.0053,0.0142,0.0337,0.1119,0.151,0.0284,0.0231,0.0089,0.0806,0.0178,0.0266,0.0138,0.0734,0.0734,0.078,0.0,0.1284,0.0413,0.0195,0.0917,0.0036,0.0746,0.0284,0.0224,0.0,0.0596,0.0023,0.0688,0.1606,0.0,0.0138,0.0596,0.0596,0.0459,0.0321,0.0275,0.1972,0.0046,0.0,0.0,0.0014,0.0046,0.0092,0.0,0.0138,0.0,0.0005,0.0019,0.0,0.0042,0.0,0.0138,0.0046,0.0229,0.0023,0.2294,0.1147,0.0321,0.0183,0.5917,0.1422,0.1284,0.0138,0.0,0.0138,0.1651,0.0,0.0,0.0019,0.0046,0.0018,0.0018,0.0033,0.0505,0.0023,0.0005,0.0,0.0,0.0,0.0,0.0005,0.0229,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0
BD-WBF142.txt,3567,3.4329,0.4,0.3513,922,340,0.0,0.1794,0.0014,0.0088,0.2471,0.0588,0.2559,0.1948,0.0794,0.0029,0.0529,0.0529,0.05,0.0171,0.0031,0.0088,0.2245,0.0147,0.0053,0.0588,0.0676,0.2412,0.1,0.3412,0.0147,0.0006,0.0059,0.0802,0.0779,0.1302,0.0,0.0879,0.0043,0.0228,0.0076,0.1912,0.1324,0.0282,0.0011,0.0011,0.0735,0.0059,0.0059,0.0382,0.0853,0.0412,0.0059,0.0353,0.2029,0.013,0.2585,0.0998,0.0022,0.0249,0.0,0.0076,0.0477,0.0022,0.0727,0.0575,0.1685,0.0119,0.0054,0.0029,0.05,0.05,0.0353,0.0,0.0765,0.0529,0.0022,0.0324,0.0011,0.0727,0.0146,0.0121,0.0,0.0088,0.0006,0.0147,0.0735,0.0059,0.0206,0.0088,0.0088,0.0559,0.0324,0.0618,0.0294,0.0,0.0,0.0,0.0017,0.0,0.0088,0.0088,0.0176,0.0,0.0003,0.0014,0.0,0.0014,0.0,0.0,0.0,0.0,0.0017,0.05,0.0706,0.0382,0.0676,0.7176,0.1029,0.1,0.0029,0.0,0.0029,0.0853,0.0,0.0064,0.0017,0.0,0.0033,0.0,0.0025,0.0029,0.0006,0.0011,0.0,0.0059,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-CMT045.txt,2123,4.5292,0.6375,0.4885,540,231,0.0,0.2641,0.0028,0.026,0.2641,0.0303,0.2987,0.0151,0.1255,0.0087,0.039,0.0606,0.0346,0.0179,0.0042,0.0563,0.2963,0.0173,0.0047,0.0346,0.039,0.0693,0.0346,0.1039,0.0043,0.0009,0.0,0.1253,0.1182,0.2019,0.0037,0.1685,0.0019,0.0167,0.0093,0.2121,0.1558,0.0185,0.0019,0.0019,0.0476,0.013,0.0216,0.0303,0.0823,0.0736,0.0216,0.0519,0.1991,0.0907,0.2544,0.1185,0.0019,0.0426,0.0093,0.0667,0.2759,0.0222,0.0222,0.013,0.0711,0.0259,0.0278,0.039,0.0909,0.0996,0.0519,0.0087,0.1299,0.0173,0.0056,0.0736,0.0074,0.0519,0.0203,0.0165,0.0005,0.0346,0.0009,0.0519,0.0823,0.0,0.026,0.0173,0.0173,0.0433,0.026,0.0433,0.1169,0.0779,0.0043,0.013,0.0019,0.0,0.0,0.0043,0.0043,0.0,0.0005,0.0009,0.0,0.0047,0.0,0.0216,0.0043,0.0346,0.0024,0.2035,0.1342,0.1472,0.0087,0.6017,0.1645,0.1558,0.0,0.0,0.0087,0.1948,0.0014,0.0,0.0057,0.0,0.0,0.0056,0.0033,0.0476,0.0005,0.0,0.0087,0.0087,0.0,0.0,0.0005,0.013,0.0009,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0043,0.0,0.0,0.0,0.0
BD-WBS499.txt,2285,5.2556,0.4825,0.6477,1048,129,0.0,0.3023,0.0053,0.0388,0.1938,0.0078,0.8527,0.0446,0.1705,0.0,0.0,0.0,0.0078,0.0018,0.0004,0.0,0.1345,0.0155,0.0,0.0,0.0775,0.0465,0.0,0.0465,0.0155,0.0,0.0,0.14,0.1361,0.126,0.0,0.1002,0.0076,0.0019,0.0019,0.124,0.124,0.0086,0.0076,0.0,0.0078,0.0,0.0,0.0155,0.0078,0.0,0.0,0.0,0.1938,0.0382,0.4586,0.0277,0.0048,0.0095,0.0153,0.0344,0.6145,0.02,0.0248,0.0067,0.0788,0.0286,0.0172,0.0155,0.155,0.155,0.062,0.0,0.0775,0.031,0.0095,0.0,0.0067,0.0153,0.0144,0.0144,0.0,0.0388,0.0,0.0155,0.0078,0.0,0.0155,0.062,0.062,0.0543,0.0465,0.031,0.0698,0.2946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.6512,0.3488,0.155,0.0155,0.3101,0.093,0.0775,0.0,0.0,0.0155,0.0,0.0,0.0,0.0031,0.0,0.0,0.0057,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-WBS201.txt,2286,4.5468,0.405,0.5599,763,122,0.0082,0.7377,0.0013,0.0492,0.082,0.0738,0.6311,0.0149,0.123,0.0082,0.1148,0.123,0.0164,0.0061,0.0079,0.0164,0.3355,0.0246,0.0,0.0164,0.0,0.0164,0.0,0.0164,0.0164,0.0004,0.0,0.1518,0.1483,0.1219,0.0,0.0983,0.0,0.0079,0.0013,0.1148,0.0656,0.0197,0.0,0.0013,0.0902,0.0,0.0,0.0492,0.0902,0.0656,0.0,0.0656,0.1885,0.1796,0.3338,0.1127,0.0,0.1324,0.0,0.0354,0.1678,0.0052,0.0183,0.0236,0.0927,0.0393,0.0066,0.0164,0.082,0.082,0.041,0.0,0.041,0.1557,0.0013,0.0656,0.0013,0.0197,0.0162,0.0162,0.0,0.0656,0.0,0.0574,0.7295,0.0082,0.0656,0.0164,0.0164,0.0,0.0,0.0902,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0022,0.0,0.0246,0.0,0.0328,0.0004,0.0492,0.4918,0.1721,0.1639,0.582,0.1311,0.1066,0.0246,0.0,0.0246,0.0656,0.0,0.0009,0.0017,0.0,0.0,0.0013,0.0017,0.0,0.0,0.0,0.0082,0.0082,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
